cell_id,model_alias,context_tokens_target,k,repeat,needle_id,needle_type,position_frac,position_third,expected_answer,given_answer,correct,parse_ok,error_reason
ctx150000_k15_rep2,haiku,150000,15,2,N19,kivetel,0.375,kozepe,utolsó beadás,,,0,context_overflow
ctx150000_k15_rep2,haiku,150000,15,2,N18,kivetel,0.438,kozepe,érintett / hallgató,,,0,context_overflow
ctx150000_k15_rep2,haiku,150000,15,2,N09,definicio,0.5,kozepe,15 perc,,,0,context_overflow
ctx150000_k15_rep2,haiku,150000,15,2,N20,kivetel,0.562,kozepe,két / kettő / 2,,,0,context_overflow
ctx150000_k15_rep2,haiku,150000,15,2,N02,hatarido,0.625,kozepe,2026. április 3,,,0,context_overflow
ctx150000_k15_rep2,haiku,150000,15,2,N17,kivetel,0.688,vege,10%,,,0,context_overflow
ctx150000_k15_rep2,haiku,150000,15,2,N13,szam,0.75,vege,12,,,0,context_overflow
ctx150000_k15_rep2,haiku,150000,15,2,N14,szam,0.812,vege,3,,,0,context_overflow
ctx150000_k15_rep2,haiku,150000,15,2,N10,definicio,0.875,vege,működő prototípust,,,0,context_overflow
ctx150000_k15_rep2,haiku,150000,15,2,N03,hatarido,0.938,vege,2026. május 5,,,0,context_overflow
ctx150000_k15_rep2,sonnet,150000,15,2,N01,hatarido,0.062,eleje,2026. március 14,"2026. március 14-én, 10:15-kor a nagyelőadó teremben.",1,1,
ctx150000_k15_rep2,sonnet,150000,15,2,N06,definicio,0.125,eleje,három egymást követő futtatásban,"Azt a fejlesztési ciklust nevezzük stabil iterációnak, amely után a build szerver három egymást követő futtatásban is hibamentes eredményt ad.",1,1,
ctx150000_k15_rep2,sonnet,150000,15,2,N07,definicio,0.188,eleje,leadási határidő után,"A leadási határidő után, de a manuális értékelés megkezdése előtt privát branch-re feltett commitot árnyék-commitnak nevezzük ebben a tárgyban.",1,1,
ctx150000_k15_rep2,sonnet,150000,15,2,N04,hatarido,0.25,eleje,2026. február 20,"2026. február 20-án, 14:00-kor.",1,1,
ctx150000_k15_rep2,sonnet,150000,15,2,N11,szam,0.312,eleje,35%,35%,1,1,
ctx150000_k15_rep2,sonnet,150000,15,2,N19,kivetel,0.375,kozepe,utolsó beadás,"Az utolsó beadás bírálja felül a korábbi órai gyakorlat pontszámát, még akkor is, ha az rosszabb eredményt hozna.",1,1,
ctx150000_k15_rep2,sonnet,150000,15,2,N18,kivetel,0.438,kozepe,érintett / hallgató,"Csak az érintett hallgató pontszáma csökken, a csapat többi tagjáé nem.",1,1,
ctx150000_k15_rep2,sonnet,150000,15,2,N09,definicio,0.5,kozepe,15 perc,15 perc,1,1,
ctx150000_k15_rep2,sonnet,150000,15,2,N20,kivetel,0.562,kozepe,két / kettő / 2,Két igazolatlan hiányzás után.,1,1,
ctx150000_k15_rep2,sonnet,150000,15,2,N02,hatarido,0.625,kozepe,2026. április 3,"2026. április 3-án, 23:59-kor.",1,1,
ctx150000_k15_rep2,sonnet,150000,15,2,N17,kivetel,0.688,vege,10%,A pótzárthelyin 10%-kal több időt kap a feladatok megoldására.,1,1,
ctx150000_k15_rep2,sonnet,150000,15,2,N13,szam,0.75,vege,12,Legfeljebb 12 figyelmeztetés engedhető meg.,1,1,
ctx150000_k15_rep2,sonnet,150000,15,2,N14,szam,0.812,vege,3,Legfeljebb 3 fő.,1,1,
ctx150000_k15_rep2,sonnet,150000,15,2,N10,definicio,0.875,vege,működő prototípust,"Az a mérföldkő, amikor a csapat bemutatja a működő prototípust az oktatónak félidőben, egy közös bemutató keretében.",1,1,
ctx150000_k15_rep2,sonnet,150000,15,2,N03,hatarido,0.938,vege,2026. május 5,2026. május 5-én.,1,1,
ctx150000_k20_rep1,claude-sonnet-4-5,150000,20,1,N02,hatarido,0.048,eleje,2026. április 3,,,0,context_overflow
ctx150000_k20_rep1,claude-sonnet-4-5,150000,20,1,N16,kivetel,0.095,eleje,hétfőn,,,0,context_overflow
ctx150000_k20_rep1,claude-sonnet-4-5,150000,20,1,N17,kivetel,0.143,eleje,10%,,,0,context_overflow
ctx150000_k20_rep1,claude-sonnet-4-5,150000,20,1,N05,hatarido,0.19,eleje,2026. június 2,,,0,context_overflow
ctx150000_k20_rep1,claude-sonnet-4-5,150000,20,1,N03,hatarido,0.238,eleje,2026. május 5,,,0,context_overflow
ctx150000_k20_rep1,claude-sonnet-4-5,150000,20,1,N13,szam,0.286,eleje,12,,,0,context_overflow
ctx150000_k20_rep1,claude-sonnet-4-5,150000,20,1,N10,definicio,0.333,eleje,működő prototípust,,,0,context_overflow
ctx150000_k20_rep1,claude-sonnet-4-5,150000,20,1,N09,definicio,0.381,kozepe,15 perc,,,0,context_overflow
ctx150000_k20_rep1,claude-sonnet-4-5,150000,20,1,N14,szam,0.429,kozepe,3,,,0,context_overflow
ctx150000_k20_rep1,claude-sonnet-4-5,150000,20,1,N11,szam,0.476,kozepe,35%,,,0,context_overflow
ctx150000_k20_rep1,claude-sonnet-4-5,150000,20,1,N06,definicio,0.524,kozepe,három egymást követő futtatásban,,,0,context_overflow
ctx150000_k20_rep1,claude-sonnet-4-5,150000,20,1,N12,szam,0.571,kozepe,42 pont,,,0,context_overflow
ctx150000_k20_rep1,claude-sonnet-4-5,150000,20,1,N15,szam,0.619,kozepe,78%,,,0,context_overflow
ctx150000_k20_rep1,claude-sonnet-4-5,150000,20,1,N08,definicio,0.667,vege,két különböző csapattagnak,,,0,context_overflow
ctx150000_k20_rep1,claude-sonnet-4-5,150000,20,1,N01,hatarido,0.714,vege,2026. március 14,,,0,context_overflow
ctx150000_k20_rep1,claude-sonnet-4-5,150000,20,1,N07,definicio,0.762,vege,leadási határidő után,,,0,context_overflow
ctx150000_k20_rep1,claude-sonnet-4-5,150000,20,1,N19,kivetel,0.81,vege,utolsó beadás,,,0,context_overflow
ctx150000_k20_rep1,claude-sonnet-4-5,150000,20,1,N18,kivetel,0.857,vege,érintett / hallgató,,,0,context_overflow
ctx150000_k20_rep1,claude-sonnet-4-5,150000,20,1,N04,hatarido,0.905,vege,2026. február 20,,,0,context_overflow
ctx150000_k20_rep1,claude-sonnet-4-5,150000,20,1,N20,kivetel,0.952,vege,két / kettő / 2,,,0,context_overflow
ctx150000_k20_rep1,haiku,150000,20,1,N02,hatarido,0.048,eleje,2026. április 3,,,0,context_overflow
ctx150000_k20_rep1,haiku,150000,20,1,N16,kivetel,0.095,eleje,hétfőn,,,0,context_overflow
ctx150000_k20_rep1,haiku,150000,20,1,N17,kivetel,0.143,eleje,10%,,,0,context_overflow
ctx150000_k20_rep1,haiku,150000,20,1,N05,hatarido,0.19,eleje,2026. június 2,,,0,context_overflow
ctx150000_k20_rep1,haiku,150000,20,1,N03,hatarido,0.238,eleje,2026. május 5,,,0,context_overflow
ctx150000_k20_rep1,haiku,150000,20,1,N13,szam,0.286,eleje,12,,,0,context_overflow
ctx150000_k20_rep1,haiku,150000,20,1,N10,definicio,0.333,eleje,működő prototípust,,,0,context_overflow
ctx150000_k20_rep1,haiku,150000,20,1,N09,definicio,0.381,kozepe,15 perc,,,0,context_overflow
ctx150000_k20_rep1,haiku,150000,20,1,N14,szam,0.429,kozepe,3,,,0,context_overflow
ctx150000_k20_rep1,haiku,150000,20,1,N11,szam,0.476,kozepe,35%,,,0,context_overflow
ctx150000_k20_rep1,haiku,150000,20,1,N06,definicio,0.524,kozepe,három egymást követő futtatásban,,,0,context_overflow
ctx150000_k20_rep1,haiku,150000,20,1,N12,szam,0.571,kozepe,42 pont,,,0,context_overflow
ctx150000_k20_rep1,haiku,150000,20,1,N15,szam,0.619,kozepe,78%,,,0,context_overflow
ctx150000_k20_rep1,haiku,150000,20,1,N08,definicio,0.667,vege,két különböző csapattagnak,,,0,context_overflow
ctx150000_k20_rep1,haiku,150000,20,1,N01,hatarido,0.714,vege,2026. március 14,,,0,context_overflow
ctx150000_k20_rep1,haiku,150000,20,1,N07,definicio,0.762,vege,leadási határidő után,,,0,context_overflow
ctx150000_k20_rep1,haiku,150000,20,1,N19,kivetel,0.81,vege,utolsó beadás,,,0,context_overflow
ctx150000_k20_rep1,haiku,150000,20,1,N18,kivetel,0.857,vege,érintett / hallgató,,,0,context_overflow
ctx150000_k20_rep1,haiku,150000,20,1,N04,hatarido,0.905,vege,2026. február 20,,,0,context_overflow
ctx150000_k20_rep1,haiku,150000,20,1,N20,kivetel,0.952,vege,két / kettő / 2,,,0,context_overflow
ctx150000_k20_rep1,opus,150000,20,1,N02,hatarido,0.048,eleje,2026. április 3,"2026. április 3., 23:59",1,1,
ctx150000_k20_rep1,opus,150000,20,1,N16,kivetel,0.095,eleje,hétfőn,Csak a következő hétfőn számít határidőn belülinek.,1,1,
ctx150000_k20_rep1,opus,150000,20,1,N17,kivetel,0.143,eleje,10%,A pótzárthelyin 10%-kal több időt kap a feladatok megoldására.,1,1,
ctx150000_k20_rep1,opus,150000,20,1,N05,hatarido,0.19,eleje,2026. június 2,"2026. június 2., 8:00",1,1,
ctx150000_k20_rep1,opus,150000,20,1,N03,hatarido,0.238,eleje,2026. május 5,2026. május 5.,1,1,
ctx150000_k20_rep1,opus,150000,20,1,N13,szam,0.286,eleje,12,Legfeljebb 12 figyelmeztetés.,1,1,
ctx150000_k20_rep1,opus,150000,20,1,N10,definicio,0.333,eleje,működő prototípust,"A mérföldkő, amikor a csapat bemutatja a működő prototípust az oktatónak (a félidős bemutató).",1,1,
ctx150000_k20_rep1,opus,150000,20,1,N09,definicio,0.381,kozepe,15 perc,15 perc.,1,1,
ctx150000_k20_rep1,opus,150000,20,1,N14,szam,0.429,kozepe,3,Legfeljebb 3 fő.,1,1,
ctx150000_k20_rep1,opus,150000,20,1,N11,szam,0.476,kozepe,35%,35%,1,1,
ctx150000_k20_rep1,opus,150000,20,1,N06,definicio,0.524,kozepe,három egymást követő futtatásban,"Az a fejlesztési ciklus, amely után a build szerver három egymást követő futtatásban is hibamentes eredményt ad.",1,1,
ctx150000_k20_rep1,opus,150000,20,1,N12,szam,0.571,kozepe,42 pont,Legalább 42 pont a lehetséges 100-ból.,1,1,
ctx150000_k20_rep1,opus,150000,20,1,N15,szam,0.619,kozepe,78%,A forráskód 78%-a.,1,1,
ctx150000_k20_rep1,opus,150000,20,1,N08,definicio,0.667,vege,két különböző csapattagnak,"Egy pull requestet két különböző csapattagnak is jóvá kell hagynia, mielőtt összeolvasztható lenne.",1,1,
ctx150000_k20_rep1,opus,150000,20,1,N01,hatarido,0.714,vege,2026. március 14,"2026. március 14., 10:15, a nagyelőadó teremben.",1,1,
ctx150000_k20_rep1,opus,150000,20,1,N07,definicio,0.762,vege,leadási határidő után,"A leadási határidő után, de a manuális értékelés megkezdése előtt privát branch-re feltett commit.",1,1,
ctx150000_k20_rep1,opus,150000,20,1,N19,kivetel,0.81,vege,utolsó beadás,Az utolsó beadás.,1,1,
ctx150000_k20_rep1,opus,150000,20,1,N18,kivetel,0.857,vege,érintett / hallgató,Csak az érintett (hibázó) hallgató pontszáma.,1,1,
ctx150000_k20_rep1,opus,150000,20,1,N04,hatarido,0.905,vege,2026. február 20,"2026. február 20., 14:00",1,1,
ctx150000_k20_rep1,opus,150000,20,1,N20,kivetel,0.952,vege,két / kettő / 2,Két igazolatlan hiányzás után.,1,1,
ctx150000_k20_rep1,sonnet,150000,20,1,N02,hatarido,0.048,eleje,2026. április 3,"2026. április 3-án, 23:59-kor",1,1,
ctx150000_k20_rep1,sonnet,150000,20,1,N16,kivetel,0.095,eleje,hétfőn,Az csak a következő hétfőn számít határidőn belülinek,1,1,
ctx150000_k20_rep1,sonnet,150000,20,1,N17,kivetel,0.143,eleje,10%,A pótzárthelyin 10%-kal több időt kap a feladatok megoldására,1,1,
ctx150000_k20_rep1,sonnet,150000,20,1,N05,hatarido,0.19,eleje,2026. június 2,"2026. június 2-án, 8:00-kor",1,1,
ctx150000_k20_rep1,sonnet,150000,20,1,N03,hatarido,0.238,eleje,2026. május 5,2026. május 5-én,1,1,
ctx150000_k20_rep1,sonnet,150000,20,1,N13,szam,0.286,eleje,12,Legfeljebb 12 figyelmeztetés,1,1,
ctx150000_k20_rep1,sonnet,150000,20,1,N10,definicio,0.333,eleje,működő prototípust,"Az a mérföldkő, amikor a csapat bemutatja a működő prototípust az oktatónak félidőben",1,1,
ctx150000_k20_rep1,sonnet,150000,20,1,N09,definicio,0.381,kozepe,15 perc,15 perc,1,1,
ctx150000_k20_rep1,sonnet,150000,20,1,N14,szam,0.429,kozepe,3,Legfeljebb 3 fő,1,1,
ctx150000_k20_rep1,sonnet,150000,20,1,N11,szam,0.476,kozepe,35%,35%,1,1,
ctx150000_k20_rep1,sonnet,150000,20,1,N06,definicio,0.524,kozepe,három egymást követő futtatásban,"Az a fejlesztési ciklus, amely után a build szerver három egymást követő futtatásban is hibamentes eredményt ad",1,1,
ctx150000_k20_rep1,sonnet,150000,20,1,N12,szam,0.571,kozepe,42 pont,Legalább 42 pont a lehetséges 100-ból,1,1,
ctx150000_k20_rep1,sonnet,150000,20,1,N15,szam,0.619,kozepe,78%,A forráskód 78%-a,1,1,
ctx150000_k20_rep1,sonnet,150000,20,1,N08,definicio,0.667,vege,két különböző csapattagnak,"Egy pull requestet két különböző csapattagnak is jóvá kell hagynia, mielőtt az összeolvasztható lenne",1,1,
ctx150000_k20_rep1,sonnet,150000,20,1,N01,hatarido,0.714,vege,2026. március 14,"2026. március 14-én, 10:15-kor a nagyelőadó teremben",1,1,
ctx150000_k20_rep1,sonnet,150000,20,1,N07,definicio,0.762,vege,leadási határidő után,"A leadási határidő után, de a manuális értékelés megkezdése előtt privát branch-re feltett commit",1,1,
ctx150000_k20_rep1,sonnet,150000,20,1,N19,kivetel,0.81,vege,utolsó beadás,Az utolsó beadás,1,1,
ctx150000_k20_rep1,sonnet,150000,20,1,N18,kivetel,0.857,vege,érintett / hallgató,"Csak az érintett hallgató pontszáma csökken, a csapat többi tagjáé nem",1,1,
ctx150000_k20_rep1,sonnet,150000,20,1,N04,hatarido,0.905,vege,2026. február 20,"2026. február 20-án, 14:00-kor",1,1,
ctx150000_k20_rep1,sonnet,150000,20,1,N20,kivetel,0.952,vege,két / kettő / 2,Két igazolatlan hiányzás után,1,1,
ctx150000_k20_rep2,haiku,150000,20,2,N16,kivetel,0.048,eleje,hétfőn,,,0,context_overflow
ctx150000_k20_rep2,haiku,150000,20,2,N19,kivetel,0.095,eleje,utolsó beadás,,,0,context_overflow
ctx150000_k20_rep2,haiku,150000,20,2,N08,definicio,0.143,eleje,két különböző csapattagnak,,,0,context_overflow
ctx150000_k20_rep2,haiku,150000,20,2,N17,kivetel,0.19,eleje,10%,,,0,context_overflow
ctx150000_k20_rep2,haiku,150000,20,2,N04,hatarido,0.238,eleje,2026. február 20,,,0,context_overflow
ctx150000_k20_rep2,haiku,150000,20,2,N18,kivetel,0.286,eleje,érintett / hallgató,,,0,context_overflow
ctx150000_k20_rep2,haiku,150000,20,2,N03,hatarido,0.333,eleje,2026. május 5,,,0,context_overflow
ctx150000_k20_rep2,haiku,150000,20,2,N05,hatarido,0.381,kozepe,2026. június 2,,,0,context_overflow
ctx150000_k20_rep2,haiku,150000,20,2,N02,hatarido,0.429,kozepe,2026. április 3,,,0,context_overflow
ctx150000_k20_rep2,haiku,150000,20,2,N06,definicio,0.476,kozepe,három egymást követő futtatásban,,,0,context_overflow
ctx150000_k20_rep2,haiku,150000,20,2,N11,szam,0.524,kozepe,35%,,,0,context_overflow
ctx150000_k20_rep2,haiku,150000,20,2,N13,szam,0.571,kozepe,12,,,0,context_overflow
ctx150000_k20_rep2,haiku,150000,20,2,N12,szam,0.619,kozepe,42 pont,,,0,context_overflow
ctx150000_k20_rep2,haiku,150000,20,2,N07,definicio,0.667,vege,leadási határidő után,,,0,context_overflow
ctx150000_k20_rep2,haiku,150000,20,2,N20,kivetel,0.714,vege,két / kettő / 2,,,0,context_overflow
ctx150000_k20_rep2,haiku,150000,20,2,N01,hatarido,0.762,vege,2026. március 14,,,0,context_overflow
ctx150000_k20_rep2,haiku,150000,20,2,N10,definicio,0.81,vege,működő prototípust,,,0,context_overflow
ctx150000_k20_rep2,haiku,150000,20,2,N15,szam,0.857,vege,78%,,,0,context_overflow
ctx150000_k20_rep2,haiku,150000,20,2,N14,szam,0.905,vege,3,,,0,context_overflow
ctx150000_k20_rep2,haiku,150000,20,2,N09,definicio,0.952,vege,15 perc,,,0,context_overflow
ctx150000_k20_rep2,sonnet,150000,20,2,N16,kivetel,0.048,eleje,hétfőn,"Ha egy hallgató hétvégén (szombaton vagy vasárnap) adja le a házi feladatot, az csak a következő hétfőn számít határidőn belülinek.",1,1,
ctx150000_k20_rep2,sonnet,150000,20,2,N19,kivetel,0.095,eleje,utolsó beadás,"Az utolsó beadás bírálja felül a korábbi órai gyakorlat pontszámát, még akkor is, ha az rosszabb eredményt hozna.",1,1,
ctx150000_k20_rep2,sonnet,150000,20,2,N08,definicio,0.143,eleje,két különböző csapattagnak,"Egy pull requestet két különböző csapattagnak is jóvá kell hagynia, mielőtt az összeolvasztható lenne.",1,1,
ctx150000_k20_rep2,sonnet,150000,20,2,N17,kivetel,0.19,eleje,10%,A pótzárthelyin 10%-kal több időt kap a feladatok megoldására.,1,1,
ctx150000_k20_rep2,sonnet,150000,20,2,N04,hatarido,0.238,eleje,2026. február 20,"2026. február 20-án, 14:00-kor.",1,1,
ctx150000_k20_rep2,sonnet,150000,20,2,N18,kivetel,0.286,eleje,érintett / hallgató,"Csak az érintett hallgató pontszáma csökken, a csapat többi tagjáé nem.",1,1,
ctx150000_k20_rep2,sonnet,150000,20,2,N03,hatarido,0.333,eleje,2026. május 5,2026. május 5-én nyílik meg a hallgatók számára.,1,1,
ctx150000_k20_rep2,sonnet,150000,20,2,N05,hatarido,0.381,kozepe,2026. június 2,"2026. június 2-án, 8:00-kor.",1,1,
ctx150000_k20_rep2,sonnet,150000,20,2,N02,hatarido,0.429,kozepe,2026. április 3,"2026. április 3-án, 23:59-kor.",1,1,
ctx150000_k20_rep2,sonnet,150000,20,2,N06,definicio,0.476,kozepe,három egymást követő futtatásban,"Azt a fejlesztési ciklust nevezzük stabil iterációnak, amely után a build szerver három egymást követő futtatásban is hibamentes eredményt ad.",1,1,
ctx150000_k20_rep2,sonnet,150000,20,2,N11,szam,0.524,kozepe,35%,35%,1,1,
ctx150000_k20_rep2,sonnet,150000,20,2,N13,szam,0.571,kozepe,12,Legfeljebb 12 figyelmeztetést.,1,1,
ctx150000_k20_rep2,sonnet,150000,20,2,N12,szam,0.619,kozepe,42 pont,Legalább 42 pontot kell elérni a lehetséges 100-ból.,1,1,
ctx150000_k20_rep2,sonnet,150000,20,2,N07,definicio,0.667,vege,leadási határidő után,"A leadási határidő után, de a manuális értékelés megkezdése előtt privát branch-re feltett commit.",1,1,
ctx150000_k20_rep2,sonnet,150000,20,2,N20,kivetel,0.714,vege,két / kettő / 2,Két igazolatlan hiányzás után.,1,1,
ctx150000_k20_rep2,sonnet,150000,20,2,N01,hatarido,0.762,vege,2026. március 14,"2026. március 14-én, 10:15-kor a nagyelőadó teremben.",1,1,
ctx150000_k20_rep2,sonnet,150000,20,2,N10,definicio,0.81,vege,működő prototípust,"Az a mérföldkő, amikor a csapat bemutatja a működő prototípust az oktatónak félidőben.",1,1,
ctx150000_k20_rep2,sonnet,150000,20,2,N15,szam,0.857,vege,78%,A forráskód 78%-a.,1,1,
ctx150000_k20_rep2,sonnet,150000,20,2,N14,szam,0.905,vege,3,Legfeljebb 3 fő.,1,1,
ctx150000_k20_rep2,sonnet,150000,20,2,N09,definicio,0.952,vege,15 perc,15 perc.,1,1,
ctx150000_k3_rep1,claude-sonnet-4-5,150000,3,1,N13,szam,0.25,eleje,12,,,0,context_overflow
ctx150000_k3_rep1,claude-sonnet-4-5,150000,3,1,N18,kivetel,0.5,kozepe,érintett / hallgató,,,0,context_overflow
ctx150000_k3_rep1,claude-sonnet-4-5,150000,3,1,N10,definicio,0.75,vege,működő prototípust,,,0,context_overflow
ctx150000_k3_rep1,haiku,150000,3,1,N13,szam,0.25,eleje,12,,,0,context_overflow
ctx150000_k3_rep1,haiku,150000,3,1,N18,kivetel,0.5,kozepe,érintett / hallgató,,,0,context_overflow
ctx150000_k3_rep1,haiku,150000,3,1,N10,definicio,0.75,vege,működő prototípust,,,0,context_overflow
ctx150000_k3_rep1,opus,150000,3,1,N13,szam,0.25,eleje,12,12,1,1,
ctx150000_k3_rep1,opus,150000,3,1,N18,kivetel,0.5,kozepe,érintett / hallgató,"Csak az érintett hallgató pontszáma csökken, a csapat többi tagjáé nem.",1,1,
ctx150000_k3_rep1,opus,150000,3,1,N10,definicio,0.75,vege,működő prototípust,"A félidős mérföldkő, amikor a csapat bemutatja a működő prototípust az oktatónak.",1,1,
ctx150000_k3_rep1,sonnet,150000,3,1,N13,szam,0.25,eleje,12,12,1,1,
ctx150000_k3_rep1,sonnet,150000,3,1,N18,kivetel,0.5,kozepe,érintett / hallgató,"Csak az érintett hallgató pontszáma csökken, a csapat többi tagjáé nem.",1,1,
ctx150000_k3_rep1,sonnet,150000,3,1,N10,definicio,0.75,vege,működő prototípust,"Az a mérföldkő, amikor a csapat bemutatja a működő prototípust az oktatónak félidőben, egy közös bemutató keretében.",1,1,
ctx150000_k3_rep2,haiku,150000,3,2,N18,kivetel,0.25,eleje,érintett / hallgató,,,0,context_overflow
ctx150000_k3_rep2,haiku,150000,3,2,N19,kivetel,0.5,kozepe,utolsó beadás,,,0,context_overflow
ctx150000_k3_rep2,haiku,150000,3,2,N08,definicio,0.75,vege,két különböző csapattagnak,,,0,context_overflow
ctx150000_k3_rep2,sonnet,150000,3,2,N18,kivetel,0.25,eleje,érintett / hallgató,"Csak az érintett hallgató pontszáma csökken, a csapat többi tagjáé nem.",1,1,
ctx150000_k3_rep2,sonnet,150000,3,2,N19,kivetel,0.5,kozepe,utolsó beadás,"Az utolsó beadás bírálja felül a korábbi órai gyakorlat pontszámát, még akkor is, ha az rosszabb eredményt hozna.",1,1,
ctx150000_k3_rep2,sonnet,150000,3,2,N08,definicio,0.75,vege,két különböző csapattagnak,"Egy pull requestet két különböző csapattagnak is jóvá kell hagynia, mielőtt az összeolvasztható lenne.",1,1,
ctx150000_k8_rep1,haiku,150000,8,1,N03,hatarido,0.111,eleje,2026. május 5,,,0,context_overflow
ctx150000_k8_rep1,haiku,150000,8,1,N05,hatarido,0.222,eleje,2026. június 2,,,0,context_overflow
ctx150000_k8_rep1,haiku,150000,8,1,N04,hatarido,0.333,eleje,2026. február 20,,,0,context_overflow
ctx150000_k8_rep1,haiku,150000,8,1,N11,szam,0.444,kozepe,35%,,,0,context_overflow
ctx150000_k8_rep1,haiku,150000,8,1,N10,definicio,0.556,kozepe,működő prototípust,,,0,context_overflow
ctx150000_k8_rep1,haiku,150000,8,1,N12,szam,0.667,vege,42 pont,,,0,context_overflow
ctx150000_k8_rep1,haiku,150000,8,1,N20,kivetel,0.778,vege,két / kettő / 2,,,0,context_overflow
